醋酸乙酯
異丙醇
橡膠新加坡
PP進口價
LDPE
HDPE
EG進口合約價
EG東聯
PVC
SM國喬
VCM
丁二烯
尼龍絲
海灣區合約價
WTI期貨
海灣區現貨
杜拜輕原油現貨
布蘭特原油期貨
布蘭特原油
WTI現貨
